hour_of_day,money,coffee_name,Time_of_Day,Weekday,Month_name
9,30.86,Americano with Milk,Morning,Sat,Mar
10,30.86,Americano with Milk,Morning,Sat,Mar
11,35.76,Hot Chocolate,Morning,Sat,Mar
11,35.76,Cocoa,Morning,Sat,Mar
12,30.86,Americano with Milk,Afternoon,Sat,Mar
12,25.96,Americano,Afternoon,Sat,Mar
13,25.96,Americano,Afternoon,Sat,Mar
13,30.86,Americano with Milk,Afternoon,Sat,Mar
15,21.06,Espresso,Afternoon,Sat,Mar
16,35.76,Latte,Afternoon,Sat,Mar
17,30.86,Americano with Milk,Night,Sat,Mar
19,30.86,Americano with Milk,Night,Sat,Mar
10,35.76,Latte,Morning,Sun,Mar
10,35.76,Cappuccino,Morning,Sun,Mar
14,35.76,Cocoa,Afternoon,Sun,Mar
14,35.76,Cocoa,Afternoon,Sun,Mar
15,25.96,Americano,Afternoon,Sun,Mar
18,35.76,Latte,Night,Sun,Mar
